,00:0f:e2:a1:96:60,06:14:4b:65:38:a6,06:1b:b1:20:a4:35,06:1b:b1:22:36:17,06:1b:b1:22:3b:72,06:1b:b1:22:3b:7a,06:1b:b1:22:3f:ca,06:1b:b1:22:43:2d,06:1b:b1:22:43:54,06:1b:b1:22:43:65,06:1b:b1:22:43:e6,06:1b:b1:22:44:a9,0e:14:4b:65:38:a6,0e:1b:b1:20:a4:35,0e:1b:b1:22:34:2a,0e:1b:b1:22:36:17,0e:1b:b1:22:3b:72,0e:1b:b1:22:3b:7a,0e:1b:b1:22:3f:ca,0e:1b:b1:22:43:2d,0e:1b:b1:22:43:54,0e:1b:b1:22:43:65,0e:1b:b1:22:43:e6,0e:1b:b1:22:44:a9,14:e6:e4:38:16:8c,14:e6:e4:70:1c:60,14:e6:e4:70:ad:a2,20:dc:e6:bc:7e:8c,38:83:45:69:eb:a8,8c:21:0a:37:50:7a,xLabel,yLabel,locaLabel,RoomLabel
171,-71.2,-70.0,-62.6,-66.8,-43.8,-44.0,-61.8,-67.8,-58.2,-77.4,-59.0,-60.8,-70.0,-62.6,-75.6,-67.0,-43.4,-43.4,-62.0,-67.8,-58.2,-77.0,-59.4,-60.8,-57.2,-62.6,-39.4,-71.8,-78.8,-69.2,19.98,16.6,87.0,10.0
172,-69.8,-73.0,-61.2,-60.4,-43.8,-41.8,-59.6,-62.4,-57.8,-71.2,-65.8,-59.8,-74.8,-61.8,-73.8,-60.6,-44.0,-41.6,-59.4,-60.2,-57.4,-73.4,-66.2,-59.8,-57.8,-62.8,-47.0,-71.0,-67.6,-66.6,19.98,17.2,86.0,10.0
173,-73.2,-78.4,-61.0,-63.6,-43.6,-42.2,-61.8,-60.2,-57.6,-71.6,-65.6,-56.2,-78.0,-61.4,-76.2,-63.4,-43.8,-42.2,-61.4,-60.0,-57.4,-71.4,-65.2,-56.0,-56.8,-65.8,-41.2,-72.0,-69.2,-66.6,19.98,17.8,85.0,10.0
174,-70.8,-77.4,-61.2,-64.2,-43.4,-40.8,-62.2,-61.6,-62.4,-74.4,-62.6,-54.8,-77.8,-61.6,-76.2,-64.0,-43.2,-40.4,-62.6,-63.0,-61.6,-70.6,-63.0,-55.0,-56.4,-65.2,-32.0,-78.0,-74.0,-63.4,19.98,18.4,84.0,10.0
175,-70.0,-73.0,-60.2,-65.6,-54.6,-46.4,-61.6,-77.4,-64.8,-70.2,-67.6,-50.0,-73.0,-59.6,-80.8,-65.8,-54.8,-46.6,-62.0,-77.6,-64.2,-69.6,-67.4,-49.6,-48.8,-72.0,-48.6,-67.6,-75.2,-64.8,19.98,11.8,95.0,10.0
176,-77.4,-76.2,-62.4,-63.0,-46.8,-41.0,-59.0,-65.6,-60.6,-77.2,-64.0,-54.6,-76.0,-63.2,-75.0,-62.8,-46.8,-40.8,-58.8,-69.2,-60.6,-80.0,-64.0,-54.6,-60.8,-63.6,-38.8,-75.0,-71.0,-69.8,19.98,19.0,83.0,10.0
177,-74.33333333333333,-72.4,-59.2,-61.8,-42.6,-40.4,-55.8,-62.8,-58.4,-75.4,-62.2,-54.2,-74.2,-58.2,-75.0,-61.8,-42.2,-40.0,-55.8,-63.0,-59.6,-76.0,-62.4,-54.0,-64.6,-60.4,-31.2,-75.0,-73.4,-64.2,19.98,19.6,82.0,10.0
178,-73.4,-86.0,-61.6,-59.8,-45.2,-44.4,-67.4,-74.0,-64.2,-74.8,-66.4,-56.2,-88.0,-62.4,-77.2,-60.0,-45.0,-44.2,-67.2,-71.4,-63.8,-75.2,-66.0,-57.0,-65.0,-65.4,-27.2,-75.0,-75.2,-69.4,19.98,20.2,81.0,10.0
179,-81.66666666666667,-86.0,-62.8,-59.6,-46.2,-45.4,-66.8,-70.8,-64.8,-75.2,-69.4,-58.6,-88.0,-63.0,-78.0,-59.4,-46.0,-45.8,-66.6,-71.4,-64.6,-73.6,-69.8,-58.8,-68.2,-65.6,-29.2,-73.66666666666667,-77.2,-64.0,19.98,20.8,80.0,10.0
180,-79.4,-78.8,-62.0,-53.4,-49.4,-43.6,-57.6,-69.4,-63.0,-82.2,-69.2,-62.4,-78.8,-64.2,-74.8,-54.0,-49.4,-43.6,-57.6,-72.8,-63.8,-82.6,-69.2,-62.2,-60.6,-54.8,-34.6,-71.0,-74.2,-63.6,20.58,21.4,114.0,10.0
181,-82.0,-80.0,-62.4,-66.8,-59.2,-48.2,-64.4,-71.8,-63.2,-72.0,-67.2,-54.6,-83.8,-63.0,-78.0,-66.2,-59.0,-49.4,-64.4,-73.2,-64.0,-72.2,-67.4,-54.6,-50.0,-65.4,-51.2,-69.4,-90.0,-67.2,20.58,12.4,99.0,10.0
182,-90.0,-79.0,-64.4,-66.8,-61.2,-53.4,-67.6,-73.0,-68.2,-73.0,-64.8,-55.2,-85.0,-64.0,-77.2,-66.4,-61.0,-53.2,-67.8,-73.4,-67.4,-73.0,-64.6,-55.4,-45.0,-70.4,-49.4,-63.4,-76.2,-57.2,20.58,11.2,97.0,10.0
183,-69.25,-75.6,-62.2,-70.2,-59.2,-45.2,-65.2,-69.6,-62.2,-67.8,-64.6,-54.0,-70.4,-62.2,-75.0,-71.0,-59.0,-46.2,-65.6,-69.6,-63.4,-68.2,-65.2,-53.8,-52.8,-65.8,-52.2,-71.0,-90.0,-67.2,20.58,13.0,100.0,10.0
