id,position1,position2,position3,position4,position5,position6,position7,position8,position9,position10,position11,position12,position13,position14,position15,position16,position17,position18,position19,position20,position21,position22,position23,position24,position25,position26,position27,position28,position29,position30,xlabel,ylabel
46,-73.2,-73.2,-61.4,-65.2,-51.8,-41.8,-54.8,-66.6,-63.4,-74.2,-55.8,-59.4,-70.4,-61.2,-72.4,-65.2,-52,-42.2,-54.8,-66,-63.4,-73.4,-55.4,-59.2,-60.2,-60.2,-43.6,-68,-71.6,-66.4,16.38,17.2
47,-73.8,-72.4,-65.2,-59.6,-52.2,-43,-57.6,-65.8,-63,-74.8,-60.4,-55,-71.8,-64.4,-73.6,-59.6,-52,-43,-57.8,-65.4,-63.2,-74.8,-60.4,-55,-55.4,-62.8,-44.6,-72,-68.8,-67.2,16.38,17.8
48,-74.2,-77.6,-62.8,-54.8,-51.2,-43,-62.4,-67.8,-60.4,-74.2,-60.6,-51.8,-78,-62.6,-75,-55,-51,-41.6,-62.8,-68.2,-59.4,-73.8,-61,-52,-63,-65.8,-44.2,-72,-66,-67.2,16.38,18.4
49,-69.6,-71,-57.6,-71.8,-56.2,-45,-60,-74.2,-65.2,-66.8,-58.8,-56,-70,-57.6,-73.8,-70.8,-56.2,-43.2,-60,-74.2,-65.2,-66.8,-58.8,-56.2,-56.4,-67,-56.6,-66.66666667,-77,-63.4,16.38,11.8
50,-71.6,-76,-64.4,-59.2,-52.6,-43,-58.2,-61.4,-68,-79,-61.8,-56.6,-73.6,-65.8,-77.8,-59,-52.4,-42.4,-58.2,-61.2,-65.8,-75,-62,-56.8,-66.8,-66.6,-42.6,-71.8,-65.4,-62.4,16.38,19
51,-72.75,-78,-65,-60,-49.4,-45.4,-59.2,-56.2,-66.2,-75.2,-64.8,-57.8,-77.8,-64.8,-80.8,-59.6,-49.2,-44.4,-59.2,-56.8,-65.4,-71,-65,-58.2,-60.2,-62.2,-44.4,-69.2,-64.6,-67,16.38,19.6
52,-78.4,-84.8,-64.8,-57.4,-55,-45.6,-58.4,-66.2,-63.6,-72,-67.2,-56.8,-84.6,-65.6,-75.4,-57.6,-54.8,-48.2,-58.2,-65.8,-63.6,-72,-67.4,-56.6,-58.8,-61,-46.8,-74,-67.4,-67,16.38,20.2
53,-75.6,-81,-64.8,-52.4,-52.4,-45.4,-55.8,-69,-64,-73.2,-68.2,-60.6,-81,-65,-75,-52.6,-52.6,-45.8,-55.8,-69.8,-64,-73,-68,-60.6,-61.4,-67.4,-44,-72,-67,-67.8,16.38,20.8
54,-80,-84.6,-70.4,-62.2,-58.6,-48.8,-48.2,-65.2,-68.6,-70.4,-68.6,-66.2,-84.6,-70.6,-85,-63.2,-58.6,-47.8,-48.4,-65,-69.4,-70.2,-67.6,-66.6,-62.2,-59.6,-54.8,-75,-62,-50.2,13.98,21.4
55,-69,-84,-65.6,-65.6,-52.6,-39.4,-58.2,-70,-62.4,-72.2,-49.8,-56.6,-81,-65.8,-65.4,-65.6,-52.6,-38.4,-58.6,-70.6,-63,-72.2,-49.8,-57.2,-56.2,-65.2,-52.8,-70.6,-74,-59,13.98,12.4
56,-73,-78.8,-67.2,-68.4,-53.8,-42.8,-60.6,-75,-65.4,-73.6,-69,-60.8,-67,-67.2,-80.4,-68.6,-53.8,-43.2,-61.2,-74.8,-65.2,-73.6,-69.6,-60.6,-61.6,-72.2,-50.2,-59.66666667,-90,-58.8,13.98,11.2
57,-68.4,-68.6,-61.6,-62.8,-52.4,-39.2,-60.2,-69.4,-60.2,-69.4,-58.6,-56,-68.2,-61.6,-71.2,-63.2,-52.2,-39.4,-59.4,-69.6,-59.6,-69.8,-58.8,-56,-53.8,-69,-45.6,-64.4,-81,-66.4,13.98,13
58,-74,-70,-62.2,-61.4,-55.8,-36.8,-65.4,-70,-63.8,-71.4,-62.2,-56.2,-72.6,-62.2,-77,-61.6,-55.8,-36.4,-65.8,-71.4,-63.2,-73.4,-62,-56.6,-56,-66.4,-42.2,-71,-81,-62.6,13.98,13.6
59,-73.6,-74.2,-63.6,-57.8,-57.6,-40.8,-60,-73,-61.2,-74.8,-64.6,-60.8,-75,-66.6,-73.4,-58.2,-57.6,-38,-59.6,-72.8,-62,-75.6,-65,-60.6,-59.2,-64.6,-40.8,-65.4,-90,-62.6,13.98,14.2
60,-77,-73.4,-68.4,-60.2,-57.8,-39.8,-61.4,-71,-62.8,-66.8,-63.4,-60,-73.8,-68.2,-76.6,-60.2,-57.8,-40.2,-61.2,-71.2,-62.4,-66.4,-63.6,-59.8,-58.8,-65.5,-45.6,-68.2,-90,-61.2,13.98,14.8
61,-73,-73.4,-63,-67.8,-55,-42.4,-60.4,-70.8,-61.8,-68.8,-61.6,-57.2,-74,-63.8,-77.8,-68,-55,-42.6,-60.6,-71.8,-62.4,-68.8,-61.4,-57.4,-65,-64.4,-45,-70.6,-78,-64.2,13.98,15.4
62,-70,-74,-61.4,-60.4,-56.6,-43.8,-64.4,-68.8,-61.4,-71.4,-62.2,-63.8,-74,-61.4,-76.4,-60.4,-56.6,-44.8,-64.4,-68.6,-61,-71.4,-62.6,-63.4,-57.6,-72,-45.6,-70,-71,-61.6,13.98,16
63,-69.8,-84,-65.4,-61.8,-54.4,-42.4,-61,-71.6,-62.8,-70.4,-60.8,-61.2,-80.2,-65.2,-76.8,-61.8,-54.4,-42.4,-61,-72.6,-64.8,-70.4,-61,-61.6,-62.4,-68,-47.6,-70.6,-70,-67,13.98,16.6
64,-71.5,-80.8,-64.6,-59.6,-52.2,-42.6,-57,-71,-65.6,-68.2,-61.2,-59.8,-79,-65.4,-78.4,-59.8,-52.2,-41.8,-57.2,-72.4,-66.2,-68.4,-61.6,-59.6,-58.8,-62.2,-44.8,-71,-72,-70,13.98,17.2
